,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
10272,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,1,2228
10274,Under 18,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overloading,2,372
10278,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,753
10280,18-30,Male,1-2yr,Earth roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,3030
10282,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,2970
10283,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2968
10284,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,320
10286,Over 51,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2967
10287,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1931
10290,31-50,Male,5-10yrs,Asphalt roads with some distress,Dry,Daylight,Normal,Driving carelessly,2,1000
10293,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,1,3209
10294,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,2923
10295,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,2924
10296,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,2348
10298,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving at high speed,2,2155
10299,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1715
10300,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1718
10304,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,2,1948
10305,Under 18,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1965
10307,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,139
10311,18-30,Female,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,2,3075
10312,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,305
10313,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,2,2753
10317,Over 51,Male,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Unknown,2,1582
10318,Over 51,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,2177
10320,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Other,2,2186
10321,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,237
10323,Unknown,Female,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,2,1307
10327,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to pedestrian,1,3400
10329,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,1669
10333,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,2,3828
10337,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,1,632
10338,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,1707
10344,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1753
10347,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,711
10351,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Driving carelessly,2,468
10352,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,1513
10353,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Other,1,2276
10354,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,1,2270
10358,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Overturning,2,2728
10364,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,2,2964
10366,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,1120
10367,31-50,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,357
10368,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,1711
10375,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1915
10377,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,1634
10378,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,97
10380,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,174
10381,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Turnover,2,178
10383,18-30,Male,5-10yrs,Earth roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,2,81
10395,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,92
10397,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,569
10403,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,109
10404,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,497
10405,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Other,1,3525
10407,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,162
10415,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,257
10418,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Moving Backward,2,626
10433,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the left,2,2319
10436,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Other,No distancing,2,2327
10437,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,1,658
10438,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,659
10439,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,3514
10440,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,1,829
10441,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,No priority to pedestrian,2,1405
10442,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Driving carelessly,2,1401
10443,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,Getting off the vehicle improperly,2,3682
10454,Unknown,Female,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,3097
10461,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,118
10464,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Overtaking,2,2063
10465,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Other,2,165
10471,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,392
10474,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,1,159
10476,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,2182
10478,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,2183
10487,31-50,Male,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,1,110
10488,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,98
10490,Unknown,Female,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,410
10491,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,2,407
10493,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,1,377
10494,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,365
10495,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,3316
10496,Unknown,Female,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving to the left,1,3045
10497,18-30,Male,1-2yr,Gravel roads,Dry,Darkness - lights lit,Normal,Driving to the left,1,3046
10498,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,1,236
10499,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,1122
10500,Unknown,Female,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Changing lane to the right,1,338
10501,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Driving carelessly,1,1636
10502,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1424
10504,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,752
10505,Over 51,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,542
10506,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,122
10509,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1203
10512,Under 18,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,0,3131
10513,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,3148
10514,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Overturning,2,3145
10516,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,3139
10519,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,37
10520,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,36
10521,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,35
10522,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,16
10524,Unknown,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,1,1149
10530,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,536
10553,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,331
10554,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,330
10563,Unknown,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,1,2907
10565,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,359
10576,18-30,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3135
10592,18-30,Male,Unknown,Earth roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,3836
10614,31-50,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2377
10615,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,100
10621,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2496
10622,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1591
10623,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,605
10624,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2462
10629,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2244
10633,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1799
10636,Over 51,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1780
10639,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,2,146
10640,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,1388
10646,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1771
10648,31-50,Male,2-5yrs,Earth roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,1777
10653,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1257
10655,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1558
10658,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,1927
10660,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,74
10661,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,386
10662,31-50,Male,Unknown,Earth roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,0,376
10663,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,412
10665,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,90
10666,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,411
10675,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,2681
10677,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Other,No priority to vehicle,2,182
10678,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,183
10679,Unknown,Male,Above 10yr,Other,Dry,Daylight,Normal,Driving to the left,2,872
10683,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3375
10684,18-30,Male,Below 1yr,Earth roads,Dry,Daylight,Normal,Changing lane to the left,2,3376
10690,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1944
10691,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,404
10693,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,467
10696,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,1414
10708,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,2051
10709,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,2840
10710,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,2837
10711,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2842
10712,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Getting off the vehicle improperly,2,170
10713,31-50,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,1,1607
10714,31-50,Male,Unknown,Other,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,330
10715,Unknown,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1606
10716,Unknown,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,1605
10719,18-30,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,2638
10720,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,2,1198
10721,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,2659
10725,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,674
10726,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,1,306
10727,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,1501
10734,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,243
10737,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,457
10742,18-30,Female,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Driving to the left,1,3670
10743,31-50,Female,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,1,327
10744,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,1,496
10745,18-30,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Overtaking,1,2360
10746,18-30,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3477
10747,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3466
10748,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Driving under the influence of drugs,2,1975
10749,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,1972
10750,18-30,Male,Unknown,Gravel roads,Dry,Darkness - lights unlit,Normal,Moving Backward,2,124
10751,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights unlit,Normal,Changing lane to the left,2,896
10752,18-30,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,187
10753,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,110
10756,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,839
10757,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,1,844
10758,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Turnover,1,837
10759,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1228
10760,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1227
10761,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,115
10762,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,1,94
10763,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,1,2265
10764,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,260
10765,31-50,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,1,1802
10767,31-50,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to pedestrian,2,68
10769,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,3273
10772,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,1714
10774,18-30,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,759
10775,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,2,1435
10776,Unknown,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the right,2,2020
10777,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,852
10778,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,853
10779,18-30,Male,5-10yrs,Earth roads,Dry,Daylight,Normal,Overturning,2,854
10780,18-30,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,856
10784,31-50,Male,Unknown,Earth roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,405
10785,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Overspeed,2,592
10786,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,591
10787,18-30,Unknown,1-2yr,Earth roads,Dry,Daylight,Normal,Driving carelessly,2,589
10789,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2735
10792,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3656
10793,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,3658
10795,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,131
10796,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1234
10797,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,2128
10798,Over 51,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Overspeed,2,2134
10799,Over 51,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,3862
10802,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3725
10803,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,3726
10804,Unknown,Female,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Changing lane to the right,2,404
10806,18-30,Female,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to vehicle,2,322
10807,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,313
10808,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Moving Backward,2,315
